Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Season
15.0,Sat,2023-12-16,18:30,RB Leipzig,2.8,3–1,0.8,Hoffenheim,42946.0,Red Bull Arena,Robert Schröder,Match Report,,2024
15.0,Sun,2023-12-17,15:30,Freiburg,3.0,2–0,1.2,Köln,34700.0,Europa-Park Stadion,Harm Osmers,Match Report,,2024
15.0,Sun,2023-12-17,17:30,Leverkusen,2.5,3–0,0.2,Eint Frankfurt,30210.0,BayArena,Christian Dingert,Match Report,,2024
15.0,Sun,2023-12-17,19:30,Bayern Munich,2.8,3–0,0.4,Stuttgart,75000.0,Allianz Arena,Tobias Stieler,Match Report,,2024
,,,,,,,,,,,,,,2024
16.0,Tue,2023-12-19,18:30,Werder Bremen,1.5,1–1,1.7,RB Leipzig,41000.0,Wohninvest Weserstadion,Tobias Reichel,Match Report,,2024
16.0,Tue,2023-12-19,20:30,Hoffenheim,3.5,3–3,0.8,Darmstadt 98,18125.0,PreZero Arena,Frank Willenborg,Match Report,,2024
16.0,Tue,2023-12-19,20:30,Dortmund,1.2,1–1,0.9,Mainz 05,80350.0,Signal Iduna Park,Marco Fritz,Match Report,,2024
16.0,Wed,2023-12-20,18:30,Union Berlin,1.5,2–0,0.8,Köln,22012.0,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,,2024
16.0,Wed,2023-12-20,20:30,Heidenheim,1.9,3–2,1.8,Freiburg,15000.0,Voith-Arena,Benjamin Brand,Match Report,,2024
16.0,Wed,2023-12-20,20:30,Stuttgart,2.6,3–0,0.2,Augsburg,53600.0,MHPArena,Daniel Siebert,Match Report,,2024
16.0,Wed,2023-12-20,20:30,Wolfsburg,0.3,1–2,2.5,Bayern Munich,28917.0,Volkswagen Arena,Sascha Stegemann,Match Report,,2024
16.0,Wed,2023-12-20,20:30,Leverkusen,3.3,4–0,0.4,Bochum,30210.0,BayArena,Daniel Schlager,Match Report,,2024
